stPoint: 234, ndPoint: 234, Hue: 234
stPoint: 235, ndPoint: 235, Hue: 235
stPoint: 236, ndPoint: 236, Hue: 236
stPoint: 237, ndPoint: 237, Hue: 237
stPoint: 238, ndPoint: 238, Hue: 238
stPoint: 239, ndPoint: 239, Hue: 239
stPoint: 240, ndPoint: 240, Hue: 240
stPoint: 241, ndPoint: 241, Hue: 241
stPoint: 242, ndPoint: 242, Hue: 242
stPoint: 243, ndPoint: 243, Hue: 243
stPoint: 244, ndPoint: 244, Hue: 244
stPoint: 245, ndPoint: 245, Hue: 245
stPoint: 246, ndPoint: 246, Hue: 246
stPoint: 247, ndPoint: 247, Hue: 247
stPoint: 248, ndPoint: 248, Hue: 248
stPoint: 249, ndPoint: 249, Hue: 249
stPoint: 250, ndPoint: 250, Hue: 250
stPoint: 251, ndPoint: 251, Hue: 251
stPoint: 252, ndPoint: 252, Hue: 252
stPoint: 253, ndPoint: 253, Hue: 253
stPoint: 254, ndPoint: 254, Hue: 254
stPoint: 255, ndPoint: 255, Hue: 255
stPoint: 0, ndPoint: 0, Hue: 0
stPoint: 1, ndPoint: 2, Hue: 1
stPoint: 2, ndPoint: 4, Hue: 2
stPoint: 3, ndPoint: 6, Hue: 3
stPoint: 4, ndPoint: 8, Hue: 4
stPoint: 5, ndPoint: 10, Hue: 5
stPoint: 6, ndPoint: 12, Hue: 6
stPoint: 7, ndPoint: 14, Hue: 7
stPoint: 8, ndPoint: 16, Hue: 8
stPoint: 9, ndPoint: 18, Hue: 9
stPoint: 10, ndPoint: 20, Hue: 10
stPoint: 11, ndPoint: 22, Hue: 11
stPoint: 12, ndPoint: 24, Hue: 12
stPoint: 13, ndPoint: 26, Hue: 13
stPoint: 14, ndPoint: 28, Hue: 14
stPoint: 15, ndPoint: 30, Hue: 15
stPoint: 16, ndPoint: 32, Hue: 16
stPoint: 17, ndPoint: 34, Hue: 17
stPoint: 18, ndPoint: 36, Hue: 18
stPoint: 19, ndPoint: 38, Hue: 19
stPoint: 20, ndPoint: 40, Hue: 20
stPoint: 21, ndPoint: 42, Hue: 21
stPoint: 22, ndPoint: 44, Hue: 22
stPoint: 23, ndPoint: 46, Hue: 23
